id	Drillhole	Texture	Sample 	Location	Analysis 	Depth	Mg24	Al27	Si29	P31	Ca43	Sc45	Ti49	V51	Cr53	Mn55	Co59	Ni60	Cu65	Zn66	Ga69	As75	Sr88	Y89	Zr90	Nb93	Mo95	Sn118	Sb121	Ba137	La139	Ce140	Pr141	Nd146	Sm147	Eu153	Gd157	Tb159	Dy163	Ho165	Er166	Tm169	Yb172	Lu175	Hf178	Ta181	W182	Pb206	Pb207	Pb208	Th232	U238	sumREY
187	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-15	496.50	50.22	737.38	890.66	101.26	76.41	0.27	22.62	40.21	0.60	18.63	9.32	1.46	3.11	3.71	4.92	49.28	6.71	6.02	0.37	493.16	55.37	160.58	16.24	5.37	5.13	14.08	1.47	4.64	0.91	0.18	0.66	0.15	1.09	0.33	0.99	0.31	2.41	0.44	0.00	0.20	518.59	318.26	43.13	6.93	1.53	330.21	38.81
188	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-16	496.50	61.95	356.13	1022.14	38.59	1841.01	0.06	12.85	27.35	0.33	14.50	10.72	1.36	1.95	3.49	4.14	40.74	11.12	8.63	0.27	278.66	49.97	174.04	10.67	6.44	3.01	8.96	0.82	3.66	0.76	0.27	0.91	0.29	2.70	0.49	1.79	0.35	2.84	0.42	0.02	0.09	402.49	231.36	30.85	3.87	3.01	371.19	35.89
189	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-17	496.50	52.91	734.44	1380.53	61.98	82.79	0.21	10.75	23.00	0.35	127.58	13.23	0.78	3.64	6.26	5.23	39.13	12.58	6.17	0.02	181.19	60.18	140.55	14.73	8.38	3.91	10.87	0.93	3.13	0.62	0.12	0.56	0.14	1.02	0.27	0.92	0.25	1.89	0.36	0.15	0.11	624.78	233.78	34.15	19.60	1.28	244.99	31.17
190	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-18	496.50	786.02	5637.22	32431.20	48.21	77.07	0.47	14.33	28.73	0.31	242.14	8.35	0.98	8.25	36.39	7.32	37.54	23.98	8.85	0.04	232.81	48.80	161.20	14.77	13.18	2.91	10.82	1.14	4.42	1.10	0.47	1.59	0.43	3.00	0.75	2.43	0.44	2.78	0.47	0.06	0.08	559.14	204.90	30.54	6.77	4.36	432.85	41.59
191	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-19	496.50	141.93	1196.42	3044.59	50.94	172.31	0.21	9.16	27.66	0.45	164.52	8.58	1.46	2.16	4.96	5.67	44.94	22.45	7.51	0.57	163.73	55.31	224.56	15.62	14.23	3.16	9.84	1.05	3.88	1.29	0.27	1.09	0.33	2.30	0.49	1.61	0.30	2.59	0.37	0.02	0.09	600.69	220.13	34.97	8.37	2.75	341.83	36.08
192	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-2	496.50	36.86	662.10	2811.55	16.90	1183.02	0.41	23.87	51.99	0.51	38.38	4.10	1.03	1.78	5.76	2.38	28.09	5.08	11.71	14.66	400.04	52.90	126.88	32.62	6.54	3.48	15.07	1.72	7.52	3.07	0.85	3.31	0.83	5.84	0.90	2.51	0.42	2.96	0.37	0.06	0.36	630.47	468.71	50.03	6.74	8.17	728.33	60.56
193	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-20	496.50	43.06	562.67	10024.50	92.44	205.82	0.06	15.51	34.66	0.37	33.31	6.86	0.69	1.72	3.85	4.66	52.87	5.68	9.56	0.08	381.79	41.13	172.60	13.30	4.04	3.12	9.46	1.01	3.22	0.98	0.30	1.01	0.31	2.20	0.57	1.80	0.34	2.58	0.36	0.03	0.17	453.54	235.87	34.24	6.76	3.08	314.64	36.82
194	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-3	496.50	62.77	750.17	1990.03	88.01	76.72	0.25	16.71	35.26	0.53	29.72	7.88	0.12	3.89	6.82	4.38	50.32	6.29	4.87	9.61	356.41	78.16	203.88	26.84	6.16	4.30	14.65	1.08	3.81	0.83	0.21	0.56	0.21	1.21	0.31	0.98	0.20	1.66	0.21	0.04	0.20	727.88	361.74	47.58	4.17	1.99	363.80	35.09
195	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-4	496.50	91.70	901.68	1389.10	81.31	76.55	0.12	16.19	36.31	0.41	24.20	10.52	1.35	1.00	5.12	4.81	51.97	5.45	4.32	4.32	308.40	42.60	167.73	24.74	3.78	2.72	9.13	0.88	2.46	0.63	0.20	0.58	0.15	1.12	0.26	0.76	0.22	1.53	0.19	0.26	0.13	738.31	160.56	23.58	7.36	1.31	189.43	25.14
196	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-5	496.50	64.78	768.26	985.78	62.18	332.05	0.03	10.32	44.16	0.46	27.73	6.95	1.13	1.95	7.78	3.50	34.12	5.91	9.71	1.76	304.73	47.09	142.98	24.42	7.77	12.62	33.65	3.90	12.36	2.83	0.56	1.69	0.37	2.53	0.51	1.55	0.28	2.05	0.36	0.03	0.18	642.57	243.03	35.09	6.96	3.97	303.15	84.96
197	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-6	496.50	70.08	949.33	1301.64	56.84	198.72	0.07	16.04	48.36	0.40	47.63	5.90	0.70	3.26	7.73	2.67	38.18	4.92	10.21	1.52	499.22	69.03	160.65	29.13	7.73	6.72	14.03	1.38	5.68	2.21	0.55	1.96	0.56	4.05	0.75	2.08	0.44	2.99	0.39	0.01	0.19	919.31	288.96	36.41	8.20	5.85	595.73	54.00
198	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-7	496.50	132.46	278.51	920.77	14.93	224.69	0.09	0.77	17.77	0.33	22.04	7.79	0.99	5.42	4.62	5.01	30.45	16.80	3.21	0.58	34.48	81.67	448.76	23.01	3.35	3.54	9.60	0.66	1.95	0.43	0.12	0.37	0.11	1.05	0.24	0.99	0.22	1.98	0.29	0.00	0.01	734.62	407.32	48.05	2.80	3.05	471.50	24.76
199	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-8	496.50	312.24	2863.35	3670.21	22.64	190.70	1.05	6.83	26.14	0.39	830.28	7.27	1.61	1.76	13.15	5.42	29.51	22.68	8.07	0.02	141.35	66.61	323.57	30.16	32.81	2.51	7.82	0.81	3.45	1.11	0.38	1.10	0.36	2.41	0.52	1.50	0.31	2.29	0.30	0.02	0.08	1262.18	135.30	26.03	12.92	2.67	279.71	32.95
200	RU65-7976	Hm from Mt/Hm conversions	CLC030	Deposit edge NE, Presence of BIF?	CLC30Hmmaybe-9	496.50	68.55	801.91	1145.44	83.63	98.90	0.20	17.87	36.98	0.38	34.43	10.92	0.51	2.34	11.46	4.26	48.12	9.16	6.89	0.04	312.76	68.02	261.30	19.93	4.71	5.93	12.95	1.13	3.32	0.55	0.19	0.78	0.18	1.39	0.28	1.11	0.23	1.61	0.27	0.02	0.14	1156.95	137.95	23.22	7.79	2.50	163.66	36.80
201	RU65-7976	Hm from Mt/Hm conversions	CLC032	Deposit edge NE, Presence of BIF?	CLC32Hm-1	499.90	42.58	353.91	58.71	8.71	299.90	0.07	21.17	130.83	0.53	53.43	6.50	1.52	1.31	13.56	1.44	11.24	1.50	6.28	0.05	286.88	27.38	436.96	27.30	2.25	0.44	1.27	0.10	0.29	0.14	0.03	0.23	0.08	1.05	0.33	1.64	0.39	3.80	0.77	0.02	0.15	160.04	461.70	59.25	10.86	85.97	712.56	16.85
202	RU65-7976	Hm from Mt/Hm conversions	CLC032	Deposit edge NE, Presence of BIF?	CLC32Hm-10	499.90	106.10	658.56	172.02	19.46	270.50	0.08	229.59	150.99	0.65	107.63	4.43	1.38	0.27	19.23	2.67	4.88	1.72	4.30	0.19	4297.41	34.86	430.88	39.28	2.12	6.69	13.14	1.01	4.01	0.52	0.05	0.46	0.12	0.87	0.19	1.14	0.28	2.62	0.57	0.00	8.41	412.66	374.89	50.28	18.72	166.30	516.46	35.97
203	RU65-7976	Hm from Mt/Hm conversions	CLC032	Deposit edge NE, Presence of BIF?	CLC32Hm-2	499.90	42.22	317.10	350.21	9.34	86.17	0.08	28.39	102.06	0.97	51.10	5.71	2.31	2.50	11.33	2.51	18.54	2.20	6.06	0.29	173.83	25.47	170.81	34.66	3.42	1.13	3.76	0.30	1.14	0.13	0.04	0.25	0.09	1.32	0.35	1.66	0.34	3.36	0.68	0.00	0.17	150.76	367.07	48.20	10.94	86.06	588.10	20.62
204	RU65-7976	Hm from Mt/Hm conversions	CLC032	Deposit edge NE, Presence of BIF?	CLC32Hm-3	499.90	36.22	221.94	334.97	9.31	99.59	0.06	12.38	113.80	0.68	63.96	12.36	2.52	5.96	27.32	2.26	14.33	3.38	6.71	0.13	203.71	35.21	271.51	34.88	3.67	1.78	4.30	0.41	1.36	0.26	0.10	0.55	0.12	1.22	0.37	1.91	0.41	4.00	0.72	0.02	0.15	152.10	492.65	65.25	13.00	87.12	692.13	24.22
205	RU65-7976	Hm from Mt/Hm conversions	CLC032	Deposit edge NE, Presence of BIF?	CLC32Hm-4	499.90	73.25	586.85	658.38	10.81	113.47	0.10	39.77	94.77	0.98	113.78	9.60	4.47	8.15	15.62	2.19	16.22	2.16	3.88	0.10	694.86	39.67	59.33	29.09	3.68	1.78	4.77	0.54	1.75	0.26	0.05	0.27	0.07	0.69	0.26	1.13	0.27	2.94	0.67	0.07	0.33	134.12	193.33	27.64	8.26	47.78	284.93	19.32
206	RU65-7976	Hm from Mt/Hm conversions	CLC032	Deposit edge NE, Presence of BIF?	CLC32Hm-5	499.90	85.27	232.91	436.93	9.74	240.90	0.11	54.73	108.47	0.00	135.76	12.11	3.84	8.64	17.34	3.35	17.32	3.36	1.47	0.50	908.89	50.44	128.16	25.62	3.07	1.30	2.89	0.25	0.78	0.15	0.03	0.21	0.03	0.24	0.06	0.52	0.12	1.24	0.27	0.00	0.31	156.59	106.92	17.80	6.72	14.68	136.73	9.56
207	RU65-7976	Hm from Mt/Hm conversions	CLC032	Deposit edge NE, Presence of BIF?	CLC32Hm-6	499.90	10.26	100.65	297.70	8.99	93.87	0.07	38.60	97.90	0.56	54.63	18.62	3.12	12.00	22.48	2.37	23.33	4.20	3.29	0.43	619.58	88.75	58.25	35.28	12.32	1.74	5.06	0.39	1.50	0.26	0.05	0.33	0.06	0.62	0.17	1.03	0.25	2.13	0.45	0.00	0.28	114.93	216.98	32.83	11.09	47.62	281.12	17.32
208	RU65-7976	Hm from Mt/Hm conversions	CLC032	Deposit edge NE, Presence of BIF?	CLC32Hm-7	499.90	89.27	531.34	240.65	22.19	104.17	0.08	115.59	187.63	1.81	48.34	4.16	1.95	1.76	8.63	2.75	10.23	1.81	7.41	0.82	1819.82	24.43	571.64	43.88	2.09	1.14	2.85	0.20	0.70	0.19	0.05	0.40	0.13	1.40	0.42	2.14	0.53	4.53	0.98	0.02	0.59	178.40	436.09	54.45	12.62	110.59	651.72	23.07
209	RU65-7976	Hm from Mt/Hm conversions	CLC032	Deposit edge NE, Presence of BIF?	CLC32Hm-8	499.90	131.38	478.30	334.72	9.85	277.42	0.20	89.12	159.25	1.41	133.16	18.80	4.56	25.50	27.40	3.24	17.43	4.43	6.39	0.09	1959.62	46.35	204.81	56.83	11.84	1.90	4.84	0.42	1.55	0.38	0.06	0.33	0.13	1.18	0.34	1.66	0.45	4.45	0.86	0.04	0.72	179.95	386.30	53.61	15.15	83.04	535.26	24.93
210	RU65-7976	Hm from Mt/Hm conversions	CLC032	Deposit edge NE, Presence of BIF?	CLC32Hm-9	499.90	8.49	149.20	173.88	28.86	103.36	0.13	48.21	97.40	0.26	157.21	12.07	4.29	7.64	10.66	1.95	21.78	2.82	5.16	0.35	578.31	49.02	80.63	53.47	3.31	3.36	7.54	0.67	1.70	0.34	0.12	0.41	0.12	0.80	0.30	1.46	0.29	2.62	0.52	0.03	0.30	135.62	298.25	40.09	13.04	90.42	444.53	25.40
211	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-1	26.30	181.65	1054.99	1253.90	67.05	136.39	0.33	123.28	281.17	1.26	25.77	13.57	10.05	135.77	6.43	11.48	68.62	3.07	4.68	0.09	793.94	35.62	126.71	11.90	3.71	1.96	4.97	0.52	1.95	0.37	0.12	0.41	0.10	0.99	0.31	1.26	0.28	2.50	0.56	0.02	0.73	299.50	314.86	45.81	11.75	54.24	342.14	20.99
212	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-10	26.30	217.90	1139.91	1079.43	26.56	129.59	0.11	125.61	325.79	0.89	51.65	10.50	4.04	1755.69	5.39	11.88	75.55	2.78	6.92	0.09	1231.05	31.86	433.80	15.92	11.38	3.41	7.87	1.02	3.11	0.57	0.14	0.64	0.14	1.03	0.43	1.92	0.41	4.63	1.00	0.03	1.00	257.16	392.60	54.20	11.12	51.96	398.74	33.23
213	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-11	26.30	302.97	848.17	513.14	36.19	676.60	0.09	168.23	312.68	0.63	59.62	15.23	5.84	176.13	8.99	11.43	67.96	3.08	7.05	0.34	1567.49	29.55	336.22	20.06	4.16	2.50	5.38	0.53	2.02	0.40	0.10	0.37	0.10	1.15	0.40	2.04	0.42	4.18	0.96	0.02	1.31	267.91	403.67	59.27	15.16	64.06	396.58	27.60
214	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-12	26.30	200.79	625.76	691.55	58.50	222.92	0.21	118.73	279.02	1.33	48.62	15.00	8.75	56.75	11.01	9.91	70.49	3.48	5.85	0.15	842.36	23.72	163.39	23.55	5.78	2.35	5.65	0.59	2.08	0.34	0.08	0.45	0.11	1.17	0.34	1.56	0.32	3.11	0.71	0.00	1.01	333.92	345.36	57.36	21.40	69.02	348.86	24.70
215	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-13	26.30	87.55	1012.72	652.78	11.58	1128.54	0.09	127.12	420.57	0.74	19.18	14.22	2.29	182.48	3.13	13.72	34.40	6.21	13.98	0.06	539.55	39.35	675.75	14.63	5.76	2.72	9.00	0.74	2.77	0.44	0.13	0.85	0.25	2.32	0.76	3.49	0.67	6.87	1.42	0.00	0.37	421.02	883.01	114.87	15.50	119.44	962.85	46.40
216	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-14	26.30	140.02	1747.49	109288.32	78.53	2444.47	1.91	311.41	250.63	0.88	34.89	9.53	5.85	425120.19	14.25	8.71	87.30	7.62	7.46	6.34	453.57	53.11	310.36	63.18	34.46	2.16	5.07	0.45	1.54	0.86	0.16	0.96	0.21	1.21	0.43	1.91	0.42	3.28	0.82	0.56	0.42	203.13	479.10	83.66	29.66	57.97	454.51	26.93
217	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-15	26.30	35.56	858.23	1124.06	44.56	480.18	0.08	104.25	366.90	0.48	21.04	13.30	15.06	1055.73	2.18	15.84	61.12	3.79	12.85	0.16	607.08	27.96	400.31	13.98	6.97	7.56	20.85	2.00	5.69	0.82	0.39	0.71	0.19	2.08	0.62	3.22	0.65	6.14	1.27	0.03	0.37	252.51	650.91	86.78	12.34	81.74	707.23	65.04
218	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-16	26.30	64.88	1169.39	814.55	29.45	307.26	0.07	111.80	380.77	0.56	20.28	14.92	2.49	114.76	2.95	13.13	100.70	1.57	10.94	0.05	531.24	34.75	605.60	17.17	0.60	0.80	3.40	0.29	1.05	0.41	0.11	0.65	0.17	1.73	0.57	2.75	0.57	6.07	1.40	0.00	0.38	324.72	692.08	89.06	14.90	96.48	741.37	30.91
219	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-17	26.30	168.97	3895.49	4616.84	56.32	111.61	0.70	92.63	331.61	1.28	23.86	13.74	10.95	162.54	7.77	15.26	79.81	2.45	7.30	0.21	355.43	40.83	463.06	24.97	5.80	2.11	5.65	0.55	2.11	0.42	0.17	0.65	0.14	1.63	0.43	2.00	0.38	3.84	0.77	0.04	0.24	289.08	516.09	72.51	12.38	56.22	537.00	28.14
220	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-18	26.30	89.32	1111.66	693.21	28.63	100.35	0.07	204.61	423.81	0.53	43.62	17.18	3.12	106.75	8.85	13.46	67.87	2.62	11.63	0.14	1125.79	35.17	585.80	16.94	5.03	2.29	5.17	0.37	0.92	0.46	0.06	0.72	0.20	2.09	0.67	3.14	0.71	6.60	1.44	0.02	0.97	312.10	709.08	94.07	16.65	98.33	780.77	36.47
221	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-19	26.30	63.60	1055.69	664.83	57.29	230.11	0.08	100.37	366.51	0.36	37.10	18.89	2.36	81.03	6.50	12.96	75.34	4.13	9.81	0.04	576.13	36.97	793.79	15.22	3.34	1.83	4.03	0.33	1.08	0.24	0.07	0.70	0.12	1.53	0.61	2.84	0.61	5.63	1.34	0.04	0.47	277.58	729.85	99.23	12.03	63.25	787.22	30.77
222	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-2	26.30	381.79	1124.13	893.85	43.54	120.56	0.11	150.25	297.79	0.49	64.09	14.54	4.16	12872.93	6.47	10.85	58.57	4.55	5.32	0.41	953.67	32.17	343.74	15.15	18.72	1.85	5.01	0.49	1.64	0.38	0.11	0.48	0.10	1.03	0.29	1.50	0.39	3.48	0.80	0.03	0.73	297.91	399.46	62.01	21.60	90.47	425.82	22.86
223	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-20	26.30	93.46	719.16	508.41	56.28	672.11	0.10	91.97	402.61	0.85	25.97	17.15	9.43	63.07	6.49	13.93	74.72	5.04	19.93	0.00	444.05	18.47	408.16	12.69	6.17	6.71	23.71	2.14	8.54	1.84	0.72	1.69	0.40	3.70	0.98	4.32	0.85	7.97	1.52	0.06	0.30	208.92	864.23	110.55	16.30	102.83	916.48	85.02
224	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-21	26.30	46.18	1281.19	1198.55	109.00	114.09	0.08	171.67	358.17	0.60	25.49	10.80	6.41	69.88	4.69	15.11	118.98	2.08	9.28	0.06	750.65	42.98	569.26	16.25	1.68	4.53	11.26	1.16	4.23	1.11	0.32	1.06	0.23	1.86	0.46	2.04	0.40	3.85	0.67	0.00	0.84	403.58	389.55	54.03	13.83	61.40	390.91	42.45
225	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-22	26.30	51.81	1070.17	985.98	88.88	503.81	0.07	129.95	403.82	0.36	28.04	12.86	9.36	129.07	5.50	15.58	88.54	3.94	10.50	0.02	767.55	43.91	498.87	16.59	5.18	4.50	11.96	1.10	3.40	0.94	0.19	0.90	0.23	1.92	0.59	2.57	0.47	4.74	1.05	0.04	0.77	514.55	577.51	75.19	18.10	108.37	567.19	45.05
226	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-3	26.30	305.35	1070.62	965.88	102.73	310.94	0.28	213.39	345.09	0.94	79.01	16.96	6.06	116.81	12.84	11.23	105.09	7.70	5.07	0.25	803.59	20.38	227.96	32.17	11.48	3.16	4.38	0.31	1.16	0.43	0.12	0.74	0.15	1.27	0.34	1.39	0.31	3.40	0.82	0.06	1.00	227.70	368.62	75.08	36.72	90.41	363.91	23.05
227	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-4	26.30	355.33	1173.18	928.10	47.69	2720.00	0.16	158.05	350.41	0.44	86.40	17.37	3.71	175.50	16.20	11.18	100.29	2.91	15.54	0.17	1325.16	35.51	509.91	31.40	3.67	1.16	3.48	0.36	1.41	0.33	0.18	0.65	0.23	1.77	0.52	2.38	0.51	5.30	1.26	0.02	1.01	415.11	573.90	94.08	36.30	129.22	599.93	35.07
228	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-5	26.30	321.23	1044.99	855.50	27.99	445.60	0.44	139.21	330.09	0.94	45.51	14.30	4.51	367.57	2.55	12.06	84.54	3.80	8.05	0.04	1124.73	23.00	528.77	15.81	3.95	2.86	5.85	0.56	1.96	0.41	0.16	0.51	0.15	1.42	0.42	2.42	0.48	4.57	1.12	0.02	1.02	328.36	492.85	68.29	17.89	100.79	500.66	30.94
229	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-6	26.30	355.95	1112.02	831.32	44.08	230.35	0.38	157.17	295.19	0.52	56.34	13.95	4.20	44.33	7.90	11.30	69.70	3.91	6.78	0.24	897.70	31.65	398.24	27.47	8.68	1.29	3.24	0.35	1.37	0.33	0.10	0.87	0.15	1.13	0.38	2.17	0.41	4.23	0.85	0.02	0.85	355.94	505.45	76.93	25.51	97.58	495.95	23.65
230	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-7	26.30	333.46	1025.21	693.52	28.90	101.34	0.09	173.68	340.03	0.55	95.32	12.98	4.39	7280.27	15.30	9.46	81.30	2.84	7.40	0.14	1920.73	34.54	464.35	21.49	1.59	1.77	4.95	0.63	2.28	0.69	0.18	0.64	0.18	1.26	0.45	2.34	0.46	5.12	0.99	0.03	1.42	354.87	435.90	70.87	23.52	81.02	443.60	29.34
231	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-8	26.30	415.42	825.92	345.60	12.43	126.81	0.39	168.67	318.35	0.79	68.04	15.29	4.16	54.41	11.19	10.75	60.14	2.93	8.36	0.12	1914.73	24.29	328.45	24.56	3.87	1.21	3.48	0.41	1.36	0.62	0.12	0.54	0.21	1.87	0.48	2.41	0.53	5.19	1.12	0.00	1.72	283.18	553.57	80.21	28.17	131.98	534.40	27.92
232	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53BHm-9	26.30	249.25	875.60	596.49	48.19	130.30	0.26	125.70	269.63	1.74	40.20	11.91	8.49	92.86	13.61	11.30	79.28	2.47	3.71	0.32	513.65	26.52	205.70	20.90	6.26	2.27	4.85	0.51	1.48	0.29	0.07	0.28	0.07	0.68	0.25	1.07	0.24	2.31	0.59	0.03	0.40	290.33	331.91	51.67	14.23	53.83	323.94	18.66
233	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53bHmC-1	26.30	63.70	1076.07	1593.43	69.31	83.49	0.04	63.81	326.89	0.39	32.67	15.80	2.76	101.25	5.37	13.91	126.96	2.88	4.37	0.07	279.13	94.31	936.05	17.55	12.79	1.46	3.33	0.29	1.17	0.44	0.15	0.55	0.12	1.18	0.29	1.30	0.28	2.91	0.58	0.00	0.26	1245.62	248.06	35.06	14.46	43.28	232.47	18.41
234	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53bHmC-10	26.30	88.08	906.22	872.30	50.06	333.19	0.03	73.99	349.36	0.39	29.61	14.85	2.64	106.49	8.24	14.07	61.01	3.50	8.74	0.04	342.21	40.71	919.37	13.68	14.61	1.12	3.47	0.27	0.93	0.32	0.08	0.53	0.16	1.56	0.45	2.26	0.51	4.91	1.04	0.01	0.29	426.45	859.63	102.14	12.87	69.65	799.37	26.35
235	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53bHmC-11	26.30	52.73	948.04	1274.24	62.12	323.32	0.17	63.13	328.28	0.28	27.63	15.92	8.05	189.57	9.10	15.07	98.11	4.16	8.41	0.15	234.13	35.52	639.87	20.22	24.23	3.01	8.52	0.71	2.20	0.59	0.14	0.61	0.16	1.50	0.45	2.17	0.49	4.54	0.99	0.02	0.18	347.29	750.42	94.14	16.09	72.44	689.80	34.48
236	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53bHmC-12	26.30	54.13	1010.91	1238.74	78.27	515.83	0.58	84.63	353.28	0.28	42.61	17.52	4.48	113.14	14.09	13.25	70.22	3.93	25.79	0.67	369.00	36.90	823.30	17.87	7.05	4.21	12.11	1.52	6.95	3.48	1.47	4.36	0.95	6.60	1.44	4.83	0.82	7.25	1.41	0.00	0.30	392.22	820.99	103.31	17.97	95.69	814.50	83.20
237	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53bHmC-13	26.30	227.33	890.31	998.83	49.16	269.88	0.07	71.12	271.52	0.38	67.82	26.17	3.38	192.09	3.61	10.35	111.55	1.50	9.48	0.06	2738.40	32.16	853.89	11.52	3.49	1.17	3.60	0.33	1.26	0.31	0.10	0.58	0.18	1.72	0.53	2.62	0.64	6.59	1.33	0.00	2.13	249.67	741.60	91.80	21.01	115.39	659.24	30.42
238	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53bHmC-14	26.30	197.38	837.79	1108.69	74.84	1332.98	0.15	92.32	257.20	0.30	54.14	11.34	5.21	128.04	6.35	10.43	85.78	5.64	6.49	0.10	1011.33	17.28	620.26	10.95	7.05	3.06	3.91	0.33	1.12	0.27	0.11	0.35	0.10	0.91	0.27	1.33	0.29	2.41	0.56	0.02	1.02	124.12	282.11	41.36	15.90	54.16	237.73	21.50
239	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53bHmC-15	26.30	246.25	738.64	868.60	39.76	189.16	0.10	51.76	262.75	0.34	71.71	22.88	3.00	83.51	4.92	9.81	80.49	1.24	8.27	0.08	2182.71	32.82	864.75	12.16	1.17	0.83	2.68	0.18	0.86	0.25	0.04	0.63	0.13	1.52	0.47	2.36	0.49	5.47	1.20	0.02	1.66	297.99	730.46	89.34	25.87	148.87	641.53	25.38
240	RU34-8890D	Coarse Hm with U-min inclusions	CLC053B	Middle part, sedimentary protolith?	CLC53bHmC-16	26.30	244.89	753.99	890.61	47.00	240.62	0.10	53.52	268.63	0.18	63.82	17.79	5.95	101.05	3.87	10.27	103.14	3.31	9.08	0.07	2349.90	32.82	726.07	11.25	2.05	1.19	3.69	0.35	1.20	0.22	0.09	0.40	0.16	1.58	0.53	2.51	0.62	5.92	1.32	0.00	1.83	260.92	755.53	90.65	16.89	104.61	676.68	28.86
